name,MARKA,KOLEKSIYON,price,price_category,CINSIYET,MEKANIZMA,KASA MATERYALI,case_material_category,KASA ÇAPI,SU REZISTANSI,water_resistance_category,brand_country,brand_age,collection_price_tier,url,image,page,scraped_at,AILE,GARANTI SÜRESI,GÜÇ REZERVI,KADRAN,KAYIŞ,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,REFERANS,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Luminor Marina,Panerai,Luminor,473800.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,44mm,50m,Water Resistant,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-luminor-marina-pam03323/,https://samiwatches.com/wp-content/uploads/2025/04/PAM03323-1-300x400.webp,1,2025-10-06T03:44:47.183571,,8 Yıl,72 Saat,Mavi,Paslanmaz Çelik,Luminor Marina,473.800₺,PAM03323,1860.0,649664.06,473800.0,466149.7,89.0,-0.27069998,0.7973054,0.22395834,False,37.0,Yüzme (50m),Lüks,44.0,Büyük (40-44mm),Çok Prestijli
Ultra-Chron Classic,Longines,Diving,183000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,50m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/ultra-chron-classic-l2-937-4-72-6/,https://samiwatches.com/wp-content/uploads/2025/10/L2.937.4.72.6-1-400x533.jpg,1,2025-10-06T03:44:56.148001,Ultra-Chron,5 Yıl,52 Saat,Gümüş,Paslanmaz Çelik,Ultra-Chron Classic,183.000₺,L2.937.4.72.6,1832.0,134676.78,131000.0,52081.965,267.0,0.35880885,0.5176647,-0.3022824,False,49.0,Yüzme (50m),Premium,40.0,Orta (36-40mm),Orta Prestij
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,557000.0,Ultra-Luxury,Kadın,Pilli,Altın,Gold,26mm,30m,Splash Resistant,Italy,140.0,Luxury Collection,https://samiwatches.com/urun/bvlgari-bvlgari-104191/,https://samiwatches.com/wp-content/uploads/2025/09/104191-1-400x533.jpg,1,2025-10-06T03:45:04.885425,,5 Yıl,,Mavi,Krokodil,Bvlgari Bvlgari,557.000₺,104191,1884.0,514079.38,416000.0,402732.22,63.0,0.08349029,0.84461075,0.37451965,False,14.0,Günlük Kullanım (30m),Lüks,26.0,Küçük (<36mm),Çok Prestijli
Specialities Paris 2024 Bronze Gold Edition,Omega,Diğer Koleksiyonlar,611100.0,Ultra-Luxury,Erkek,Elle Kurmalı,Altın,Gold,39mm,30m,Splash Resistant,Switzerland,176.0,Ultra-Luxury Collection,https://samiwatches.com/urun/specialities-paris-2024-bronze-gold-edition-522-92-39-21-99-001/,https://samiwatches.com/wp-content/uploads/2025/09/522.92.39.21.99.001-1-400x533.jpg,1,2025-10-06T03:45:13.612678,Paris 2024,5 Yıl,72 Saat,Gümüş,Deri,Specialities Paris 2024 Bronze Gold Edition,611.100₺,522.92.39.21.99.001,1848.0,513525.72,401600.0,458838.5,140.0,0.19000857,0.86287427,0.4724207,False,1.0,Günlük Kullanım (30m),Lüks,39.0,Orta (36-40mm),Çok Prestijli
Pioneer Centre Seconds Spiced Aqua,H. Moser & Cie.,Pioneer,858000.0,Ultra-Luxury,Erkek,Otomatik,Paslanmak Çelik DLC,Steel,42.8mm,120m,Swimming,Unknown,,Ultra-Luxury Collection,https://samiwatches.com/urun/pioneer-centre-seconds-spiced-aqua-3201-1205/,https://samiwatches.com/wp-content/uploads/2025/09/3201-1205-1-400x533.jpg,1,2025-10-06T03:45:22.459852,,2 Yıl,72 Saat,Mavi,Kauçuk,Pioneer Centre Seconds Spiced Aqua,858.000₺,3201-1205,,2.2611332e+06,1.456e+06,1.553869e+06,24.0,-0.62054425,0.91736525,0.9192186,False,7.0,Diğer,Ultra Lüks,42.8,Büyük (40-44mm),Ultra Prestijli
Ultra-Chron Classic,Longines,Diving,178000.0,Mid-Range,"Erkek, Kadın",Otomatik,Paslanmaz Çelik,Steel,37mm,50m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/ultra-chron-classic-l2-537-4-72-2/,https://samiwatches.com/wp-content/uploads/2025/10/L2.537.4.72.2-1-400x533.jpg,1,2025-10-06T03:45:31.371348,Ultra-Chron,5 Yıl,52 Saat,Gümüş,Krokodil,Ultra-Chron Classic,178.000₺,L2.537.4.72.2,1832.0,134676.78,131000.0,52081.965,267.0,0.32168293,0.50898206,-0.31133056,False,49.0,Yüzme (50m),Premium,37.0,Orta (36-40mm),Orta Prestij
Riviera,Baume & Mercier,Riviera,110300.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,100m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/baume-mercier-riviera-10829/,https://samiwatches.com/wp-content/uploads/2025/04/10829-1-300x400.webp,1,2025-10-06T03:45:39.914934,,2 Yıl,38 Saat,Gri,Paslanmaz Çelik,Riviera,110.300₺,10829,1830.0,126401.04,120200.0,54582.965,96.0,-0.12738061,0.31137726,-0.4338426,False,45.0,Snorkeling (100m),Orta Segment,42.0,Büyük (40-44mm),Orta Prestij
Superocean Heritage B31,Breitling,Superocean Heritage,397800.0,Luxury,Erkek,Otomatik,Çelik Altın,Gold,44mm,200m,Swimming,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/superocean-heritage-b31-ub3112161c1s1/,https://samiwatches.com/wp-content/uploads/2025/09/UB3112161C1S1-1-400x533.jpg,1,2025-10-06T03:45:55.335354,,5 Yıl,78 Saat,Mavi,Kauçuk,Superocean Heritage B31,397.800₺,UB3112161C1S1,1884.0,344131.2,317200.0,114878.734,125.0,0.15595448,0.74311376,0.08642637,False,29.0,Dalış (200m),Premium,44.0,Büyük (40-44mm),Prestijli
Primaluna Moonphase,Longines,Elegance,152000.0,Mid-Range,Kadın,Otomatik,Paslanmaz Çelik,Steel,34mm,30m,Splash Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/primaluna-moonphase-l8-126-4-87-2/,https://samiwatches.com/wp-content/uploads/2025/09/L8.126.4.87.2-1-400x533.jpg,1,2025-10-06T03:46:05.964159,PrimaLuna,5 Yıl,72 Saat,Sedef,Krokodil,Primaluna Moonphase,152.000₺,L8.126.4.87.2,1832.0,134676.78,131000.0,52081.965,267.0,0.12862812,0.43532935,-0.35838097,False,69.0,Günlük Kullanım (30m),Orta Segment,34.0,Küçük (<36mm),Orta Prestij
Seamaster Diver 300M,Omega,Seamaster,331700.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,300m,Diving,Switzerland,176.0,Ultra-Luxury Collection,https://samiwatches.com/urun/seamaster-diver-300m-210-30-42-20-01-018/,https://samiwatches.com/wp-content/uploads/2025/09/210.30.42.20.01.018-1-400x533.jpg,1,2025-10-06T03:46:16.780757,Diver 300M,5 Yıl,55 Saat,Siyah,Paslanmaz Çelik,Seamaster Diver 300M,331.700₺,210.30.42.20.01.018,1848.0,513525.72,401600.0,458838.5,140.0,-0.35407326,0.6850299,-0.03319025,False,59.0,Profesyonel Dalış (300m+),Premium,42.0,Büyük (40-44mm),Çok Prestijli
Carrera Chronograph Extreme Sport Twin-Time,Tag Heuer,Carrera,460200.0,Luxury,Erkek,Otomatik,Titanyum,Titanium,44mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/carrera-chronograph-extreme-sport-twin-time-cbu2084-ft6297/,https://samiwatches.com/wp-content/uploads/2025/09/CBU2084.FT6297-1-1-400x533.jpg,1,2025-10-06T03:46:27.495303,,2 Yıl,80 Saat,İskelet,Kauçuk,Carrera Chronograph Extreme Sport Twin-Time,460.200₺,CBU2084.FT6297,,219025.56,179400.0,138288.27,133.0,1.1011246,0.7805389,0.19934735,False,35.0,Snorkeling (100m),Lüks,44.0,Büyük (40-44mm),Prestijli
Urban BR-X5 Ice Blue,Bell & Ross,Urban,375000.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Unknown,,Luxury Collection,https://samiwatches.com/urun/urban-br-x5-ice-blue-brx5r-ib-st-srb/,https://samiwatches.com/wp-content/uploads/2025/10/BRX5R-IB-ST.SRB-1-400x533.jpg,1,2025-10-06T03:46:37.916151,,2 Yıl,70 Saat,Mavi,Kauçuk,Urban BR-X5 Ice Blue,375.000₺,BRX5R-IB-ST/SRB,,319280.0,287100.0,120730.07,30.0,0.17451766,0.7257485,0.04516678,False,19.0,Snorkeling (100m),Premium,41.0,Büyük (40-44mm),Prestijli
ProPilot Altimeter X BWD,Oris,ProPilot,403000.0,Luxury,Erkek,Otomatik,Titanyum,Titanium,47mm,100m,Water Resistant,Unknown,,Premium Collection,https://samiwatches.com/urun/propilot-altimeter-x-bwd-01-793-7775-8724-set/,https://samiwatches.com/wp-content/uploads/2025/09/01-793-7775-8724-Set-1-400x533.jpg,1,2025-10-06T03:46:48.800967,,2 Yıl,56 Saat,Siyah,Tekstil,ProPilot Altimeter X BWD,403.000₺,01 793 7775 8724-Set,,177222.78,143000.0,68706.82,79.0,1.273974,0.74850297,0.09583645,False,6.0,Snorkeling (100m),Premium,47.0,Çok Büyük (>44mm),Orta Prestij
Luminor Due Luna,Panerai,Luminor Due,469000.0,Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,38mm,50m,Water Resistant,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/luminor-due-luna/,https://samiwatches.com/wp-content/uploads/2025/10/PAM01558-1-400x533.jpg,1,2025-10-06T03:46:59.152759,,8 Yıl,,Mavi,Krokodil,Luminor Due Luna,469.000₺,PAM01558,1860.0,649664.06,473800.0,466149.7,89.0,-0.27808842,0.7922156,0.21527211,False,17.0,Yüzme (50m),Lüks,38.0,Orta (36-40mm),Çok Prestijli
Superocean Heritage,Breitling,Superocean Heritage,273000.0,Mid-Range,Kadın,Otomatik,Paslanmaz Çelik,Steel,36mm,200m,Swimming,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/superocean-heritage-a10390361l1a1/,https://samiwatches.com/wp-content/uploads/2025/09/A10390361L1A1-1-400x533.jpg,1,2025-10-06T03:47:09.553928,,2 Yıl,42 Saat,Yeşil,Paslanmaz Çelik,Superocean Heritage,273.000₺,A10390361L1A1,1884.0,344131.2,317200.0,114878.734,125.0,-0.20669791,0.6317365,-0.13941559,False,29.0,Dalış (200m),Premium,36.0,Orta (36-40mm),Prestijli
Riviera,Baume & Mercier,Riviera,162600.0,Mid-Range,Kadın,Pilli,Paslanmaz Çelik,Steel,33mm,50m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/riviera-10796/,https://samiwatches.com/wp-content/uploads/2025/09/10796-1-400x533.jpg,1,2025-10-06T03:47:17.807629,,2 Yıl,,Gümüş,Paslanmaz Çelik,Riviera,162.600₺,10796,1830.0,126401.04,120200.0,54582.965,96.0,0.2863818,0.4745509,-0.3391989,False,45.0,Yüzme (50m),Orta Segment,33.0,Küçük (<36mm),Orta Prestij
