price,gender,movement,case_material_category,brand_country,brand_age,warranty_period,dial_color,strap_material,collection_popularity,water_resistance_meters,case_diameter_mm,brand_prestige_level
473800.0,male,automatic,steel,italy,164.0,8.0,blue,stainless_steel,37.0,50.0,44.0,4
183000.0,male,automatic,steel,switzerland,192.0,5.0,silver,stainless_steel,49.0,50.0,40.0,2
557000.0,female,quartz,gold,italy,140.0,5.0,blue,crocodile,14.0,30.0,26.0,4
611100.0,male,manual,gold,switzerland,176.0,5.0,silver,leather,1.0,30.0,39.0,4
858000.0,male,automatic,steel,switzerland,171.0,2.0,blue,rubber,7.0,100.0,42.8,5
178000.0,unisex,automatic,steel,switzerland,192.0,5.0,silver,crocodile,49.0,50.0,37.0,2
110300.0,male,automatic,steel,switzerland,194.0,2.0,grey,stainless_steel,45.0,100.0,42.0,2
397800.0,male,automatic,gold,switzerland,140.0,5.0,blue,rubber,29.0,200.0,44.0,3
152000.0,female,automatic,steel,switzerland,192.0,5.0,mother_of_pearl,crocodile,69.0,30.0,34.0,2
331700.0,male,automatic,steel,switzerland,176.0,5.0,black,stainless_steel,59.0,300.0,42.0,4
460200.0,male,automatic,titanium,switzerland,171.0,2.0,skeleton,rubber,35.0,100.0,44.0,3
375000.0,male,automatic,steel,france,171.0,2.0,blue,rubber,19.0,100.0,41.0,3
403000.0,male,automatic,titanium,switzerland,171.0,2.0,black,textile,6.0,100.0,47.0,2
469000.0,female,automatic,steel,italy,164.0,8.0,blue,crocodile,17.0,50.0,38.0,4
273000.0,female,automatic,steel,switzerland,140.0,2.0,green,stainless_steel,29.0,200.0,36.0,3
162600.0,female,quartz,steel,switzerland,194.0,2.0,silver,stainless_steel,45.0,50.0,33.0,2
570400.0,female,automatic,gold,switzerland,176.0,5.0,brown,steel_gold,59.0,50.0,30.0,4
670800.0,female,automatic,steel,switzerland,44.0,2.0,white,rubber,43.0,100.0,33.0,4
159000.0,male,automatic,steel,switzerland,192.0,5.0,green,stainless_steel,54.0,50.0,40.0,2
178000.0,male,automatic,steel,switzerland,192.0,5.0,silver,crocodile,49.0,50.0,40.0,2
131200.0,male,automatic,steel,switzerland,194.0,8.0,white,leather,16.0,50.0,39.0,2
252200.0,male,automatic,steel,switzerland,140.0,2.0,blue,rubber,15.0,300.0,42.0,3
1388400.0,male,manual,steel,switzerland,171.0,5.0,green,leather,5.0,30.0,42.0,5
320700.0,male,manual,steel,italy,164.0,8.0,grey,rubber,37.0,100.0,44.0,4
314000.0,female,automatic,steel,switzerland,192.0,5.0,blue,crocodile,69.0,30.0,34.0,2
183000.0,unisex,automatic,steel,switzerland,192.0,5.0,silver,stainless_steel,49.0,50.0,37.0,2
91000.0,male,quartz,steel,switzerland,171.0,2.0,white,rubber,38.0,100.0,38.0,3
151600.0,male,manual,steel,switzerland,194.0,2.0,blue,textile,19.0,50.0,42.0,2
670800.0,female,automatic,steel,switzerland,44.0,2.0,white,rubber,43.0,100.0,33.0,4
491400.0,male,automatic,gold,switzerland,140.0,5.0,black,rubber,29.0,200.0,42.0,3
135900.0,male,automatic,steel,switzerland,194.0,8.0,blue,stainless_steel,16.0,50.0,39.0,2
174200.0,male,quartz,carbon,switzerland,140.0,2.0,black,rubber,15.0,100.0,44.0,3
159000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,54.0,50.0,40.0,2
780000.0,male,automatic,steel,switzerland,171.0,2.0,yellow,rubber,7.0,100.0,40.0,5
664000.0,unisex,automatic,steel,switzerland,159.0,2.0,black,leather,2.0,100.0,42.5,4
120200.0,male,automatic,steel,switzerland,194.0,2.0,blue,rubber,45.0,100.0,42.0,2
131200.0,male,automatic,steel,switzerland,194.0,8.0,salmon,leather,16.0,50.0,39.0,2
167000.0,male,automatic,steel,switzerland,192.0,5.0,black,stainless_steel,36.0,100.0,42.0,2
76300.0,male,automatic,steel,switzerland,194.0,2.0,grey,textile,19.0,50.0,42.0,2
1187000.0,female,quartz,gold,italy,140.0,5.0,white,gold,11.0,30.0,33.0,4
283000.0,female,automatic,steel,switzerland,192.0,5.0,silver,stainless_steel,69.0,30.0,34.0,2
338000.0,female,quartz,steel,switzerland,140.0,2.0,grey,stainless_steel,19.0,100.0,28.0,3
244000.0,male,manual,steel,switzerland,192.0,5.0,black,leather,36.0,100.0,39.5,2
670800.0,female,automatic,steel,switzerland,44.0,2.0,white,rubber,43.0,100.0,33.0,4
337600.0,male,automatic,steel,switzerland,176.0,5.0,blue,stainless_steel,59.0,50.0,41.0,4
811200.0,male,automatic,ceramic,switzerland,44.0,2.0,skeleton,rubber,45.0,50.0,45.0,4
178000.0,male,automatic,steel,switzerland,192.0,5.0,terracotta,stainless_steel,49.0,300.0,39.0,2
402000.0,male,automatic,steel,italy,164.0,8.0,red,stainless_steel,17.0,50.0,42.0,4
50970.0,male,automatic,steel,switzerland,171.0,3.0,green,stainless_steel,160.0,100.0,39.0,1
982800.0,male,automatic,steel,switzerland,159.0,2.0,grey,stainless_steel,17.0,100.0,41.0,4
267700.0,female,quartz,steel,switzerland,176.0,5.0,blue,stainless_steel,42.0,30.0,25.0,4
1076400.0,male,automatic,steel,switzerland,171.0,2.0,blue,rubber,7.0,100.0,42.8,5
96200.0,male,quartz,steel,switzerland,171.0,2.0,white,stainless_steel,38.0,100.0,38.0,3
387400.0,male,automatic,gold,switzerland,140.0,5.0,black,rubber,29.0,200.0,42.0,3
118000.0,male,automatic,steel,switzerland,194.0,2.0,blue,textile,19.0,30.0,42.0,2
161000.0,female,automatic,steel,switzerland,192.0,5.0,mother_of_pearl,stainless_steel,69.0,30.0,34.0,2
1138800.0,male,automatic,ceramic,switzerland,44.0,2.0,skeleton,rubber,43.0,100.0,42.0,4
186000.0,female,automatic,gold,switzerland,192.0,5.0,mother_of_pearl,stainless_steel,57.0,100.0,30.0,2
162200.0,female,quartz,ceramic,switzerland,171.0,5.0,brown,ceramic,3.0,50.0,31.0,2
31480.0,female,quartz,gold,switzerland,171.0,2.0,champagne,synthetic,97.0,100.0,38.0,1
407400.0,male,manual,steel,switzerland,176.0,5.0,black,stainless_steel,25.0,50.0,42.0,4
402000.0,male,automatic,steel,italy,164.0,8.0,grey,stainless_steel,17.0,50.0,42.0,4
